imagem,classe,ang_1,ang_2,ang_3,ang_4,ang_5,ang_6,ang_7,ang_8
File42.png,Dolphin_Pose_or_Ardha_Pincha_Mayurasana_,98.31,84.97,134.56,158.89,56.27,58.16,169.76,173.61
478.jpg,Dolphin_Pose_or_Ardha_Pincha_Mayurasana_,100.44,77.35,106.99,123.22,115.51,113.75,164.37,170.62
File20.png,Dolphin_Pose_or_Ardha_Pincha_Mayurasana_,85.98,75.28,160.2,156.8,58.38,62.49,170.75,175.32
File6.png,Dolphin_Pose_or_Ardha_Pincha_Mayurasana_,92.77,78.47,157.87,161.15,51.53,53.37,172.25,174.93
File18.png,Dolphin_Pose_or_Ardha_Pincha_Mayurasana_,104.79,80.94,152.97,128.77,65.48,75.72,178.2,169.07
File37.png,Dolphin_Pose_or_Ardha_Pincha_Mayurasana_,111.3,132.43,139.91,161.67,82.67,77.96,160.52,165.24
126.jpg,Dolphin_Pose_or_Ardha_Pincha_Mayurasana_,108.21,89.51,154.73,117.95,76.13,72.2,165.92,172.98
File1.png,Dolphin_Pose_or_Ardha_Pincha_Mayurasana_,119.15,95.7,140.16,112.81,97.17,104.08,172.9,159.49
File43.png,Dolphin_Pose_or_Ardha_Pincha_Mayurasana_,104.09,94.32,148.16,158.73,52.38,54.76,175.12,174.22
File41.png,Dolphin_Pose_or_Ardha_Pincha_Mayurasana_,78.89,80.92,151.51,151.18,55.94,54.62,176.13,171.11
24.jpg,Dolphin_Pose_or_Ardha_Pincha_Mayurasana_,152.57,98.23,168.08,103.7,103.3,96.35,168.03,168.78
File7.png,Dolphin_Pose_or_Ardha_Pincha_Mayurasana_,59.98,85.61,152.44,134.69,55.55,48.58,171.47,165.07
File23.png,Dolphin_Pose_or_Ardha_Pincha_Mayurasana_,79.08,113.07,153.68,144.5,52.64,52.12,164.82,166.67
File15.png,Dolphin_Pose_or_Ardha_Pincha_Mayurasana_,117.74,126.74,160.32,151.33,43.26,45.01,167.97,174.07
340.jpg,Dolphin_Pose_or_Ardha_Pincha_Mayurasana_,112.32,103.76,168.88,139.41,62.77,58.89,167.67,170.23
File5.png,Dolphin_Pose_or_Ardha_Pincha_Mayurasana_,90.98,108.19,165.04,153.66,57.25,50.58,170.67,159.46
File39.png,Dolphin_Pose_or_Ardha_Pincha_Mayurasana_,82.14,103.8,154.18,167.37,49.04,48.93,171.14,177.29
File12.png,Dolphin_Pose_or_Ardha_Pincha_Mayurasana_,126.35,84.54,156.22,139.7,77.08,72.16,172.77,161.95
7.jpg,Dolphin_Pose_or_Ardha_Pincha_Mayurasana_,92.66,85.68,142.25,155.94,52.37,54.38,177.82,177.44
File24.png,Dolphin_Pose_or_Ardha_Pincha_Mayurasana_,80.96,94.34,144.26,166.86,45.29,46.36,168.81,170.97
8.jpg,Dolphin_Pose_or_Ardha_Pincha_Mayurasana_,82.11,90.64,134.17,138.01,79.68,83.58,161.8,160.36
File14.png,Dolphin_Pose_or_Ardha_Pincha_Mayurasana_,97.28,74.91,153.8,155.8,47.53,48.43,171.06,167.11
File19.png,Dolphin_Pose_or_Ardha_Pincha_Mayurasana_,113.92,108.52,161.45,163.27,58.26,53.29,164.42,162.07
File22.png,Dolphin_Pose_or_Ardha_Pincha_Mayurasana_,89.07,147.54,154.07,147.92,67.15,67.66,168.83,177.64
File8.png,Dolphin_Pose_or_Ardha_Pincha_Mayurasana_,79.25,80.29,148.06,155.65,61.94,61.54,168.04,174.25
File4.png,Dolphin_Pose_or_Ardha_Pincha_Mayurasana_,69.47,110.07,135.05,163.58,51.52,53.75,155.84,175.74
File30.png,Dolphin_Pose_or_Ardha_Pincha_Mayurasana_,102.51,106.92,158.11,146.42,47.44,45.72,169.02,174.58
File35.png,Dolphin_Pose_or_Ardha_Pincha_Mayurasana_,110.49,136.27,135.52,155.52,57.23,55.27,170.57,176.34
File3.png,Dolphin_Pose_or_Ardha_Pincha_Mayurasana_,80.59,88.75,154.59,159.37,50.85,48.83,179.46,173.88
File25.png,Dolphin_Pose_or_Ardha_Pincha_Mayurasana_,143.75,103.85,160.79,139.16,56.09,56.07,175.73,167.44
File13.png,Dolphin_Pose_or_Ardha_Pincha_Mayurasana_,117.22,93.68,169.46,136.89,58.23,56.98,172.44,169.64
File17.png,Dolphin_Pose_or_Ardha_Pincha_Mayurasana_,139.65,82.05,167.82,96.79,112.77,109.63,166.54,159.73
File21.png,Dolphin_Pose_or_Ardha_Pincha_Mayurasana_,101.99,96.82,163.52,138.09,66.13,65.15,173.6,149.57
416.jpg,Dolphin_Pose_or_Ardha_Pincha_Mayurasana_,63.37,72.45,130.88,135.03,90.04,88.94,173.51,178.19
59.jpg,Dolphin_Pose_or_Ardha_Pincha_Mayurasana_,73.63,70.82,143.83,147.77,48.53,45.7,174.6,172.9
13.jpg,Dolphin_Pose_or_Ardha_Pincha_Mayurasana_,97.35,88.22,142.85,160.5,58.95,60.17,176.04,169.03
667.jpg,Dolphin_Pose_or_Ardha_Pincha_Mayurasana_,96.93,99.48,143.0,145.95,68.85,67.04,162.34,167.32
File38.png,Dolphin_Pose_or_Ardha_Pincha_Mayurasana_,139.59,76.45,137.96,143.85,68.79,65.61,169.91,165.18
File26.png,Dolphin_Pose_or_Ardha_Pincha_Mayurasana_,110.91,67.72,143.48,158.52,58.29,60.21,172.15,174.74
File36.png,Garland_Pose_or_Malasana_,77.57,90.72,58.05,55.67,60.14,63.14,33.73,26.98
File25.png,Garland_Pose_or_Malasana_,136.7,130.51,62.24,28.37,35.91,72.06,37.35,126.32
121.jpg,Garland_Pose_or_Malasana_,62.43,52.07,24.53,26.89,41.87,45.03,24.26,24.96
File12.png,Garland_Pose_or_Malasana_,128.93,155.26,78.09,125.53,174.92,173.97,174.56,170.99
283.jpg,Garland_Pose_or_Malasana_,62.6,58.81,30.12,31.28,50.36,54.65,24.49,25.76
File52.png,Garland_Pose_or_Malasana_,92.62,147.59,54.86,54.5,35.25,46.63,22.16,25.56
156.jpg,Garland_Pose_or_Malasana_,67.93,70.69,27.59,21.69,69.07,70.15,29.38,29.36
File11.png,Garland_Pose_or_Malasana_,101.95,122.39,95.28,82.35,48.95,33.18,91.02,73.1
175.jpg,Garland_Pose_or_Malasana_,115.68,173.84,21.84,68.52,26.33,15.27,65.55,55.22
87.jpg,Garland_Pose_or_Malasana_,61.44,74.89,49.54,54.61,33.37,40.1,34.12,34.97
File40.png,Garland_Pose_or_Malasana_,123.4,119.85,67.57,78.27,16.34,16.25,78.65,33.61
326.jpg,Garland_Pose_or_Malasana_,137.44,148.15,143.62,157.14,31.36,68.35,73.19,119.69
211.jpg,Garland_Pose_or_Malasana_,108.82,140.64,96.57,29.13,104.76,110.81,88.6,80.98
File42.png,Garland_Pose_or_Malasana_,109.39,112.93,84.32,89.84,24.25,22.71,39.99,40.37
File19.png,Garland_Pose_or_Malasana_,54.41,59.97,43.26,48.06,40.75,47.87,27.33,30.68
File55.png,Garland_Pose_or_Malasana_,84.57,84.3,60.92,54.47,57.09,62.38,24.55,29.76
142.jpg,Garland_Pose_or_Malasana_,101.44,115.58,29.47,30.34,43.99,39.96,41.16,39.86
File37.png,Garland_Pose_or_Malasana_,55.83,54.57,50.85,45.61,29.68,34.14,20.5,17.29
File46.png,Garland_Pose_or_Malasana_,100.82,98.46,48.86,43.73,68.44,69.49,32.14,34.43
File27.png,Garland_Pose_or_Malasana_,86.07,150.0,61.56,56.73,40.24,61.89,16.18,23.27
535.jpg,Garland_Pose_or_Malasana_,52.27,63.22,54.3,55.97,36.09,44.16,25.73,32.01
297.jpg,Garland_Pose_or_Malasana_,167.62,151.66,26.48,9.54,85.93,98.1,113.7,118.32
493.jpg,Garland_Pose_or_Malasana_,115.01,104.98,40.36,19.8,49.02,61.23,45.53,49.88
131.jpg,Garland_Pose_or_Malasana_,116.09,105.8,79.57,90.46,21.08,18.9,125.2,90.63
File16.png,Garland_Pose_or_Malasana_,124.25,127.32,71.28,59.41,29.09,19.43,49.75,53.47
File21.png,Garland_Pose_or_Malasana_,106.48,132.43,74.42,73.26,63.54,73.15,29.34,30.29
370.jpg,Garland_Pose_or_Malasana_,59.28,54.21,35.36,28.65,36.65,41.9,24.95,22.89
43.jpg,Garland_Pose_or_Malasana_,77.96,84.37,57.5,56.52,52.91,58.59,37.44,36.05
573.jpg,Garland_Pose_or_Malasana_,89.0,72.27,91.61,62.83,24.58,31.97,34.18,36.14
File7.png,Garland_Pose_or_Malasana_,123.66,116.1,80.27,103.85,38.95,23.73,26.65,71.35
359.jpg,Garland_Pose_or_Malasana_,34.09,34.37,44.97,42.04,54.07,50.25,27.91,26.62
517.jpg,Garland_Pose_or_Malasana_,154.69,164.43,114.77,131.76,16.82,76.06,17.33,50.95
556.jpg,Garland_Pose_or_Malasana_,63.27,65.56,111.92,110.32,11.82,14.05,19.55,15.87
320.jpg,Garland_Pose_or_Malasana_,142.77,143.0,23.03,74.52,47.09,55.63,65.57,70.49
427.jpg,Garland_Pose_or_Malasana_,146.53,143.22,119.93,126.65,36.59,31.77,9.97,13.27
File5.png,Garland_Pose_or_Malasana_,63.18,58.41,43.12,43.63,35.44,35.82,17.79,15.3
404.jpg,Garland_Pose_or_Malasana_,147.81,154.97,73.33,58.36,35.82,48.6,67.31,75.43
391.jpg,Garland_Pose_or_Malasana_,70.3,87.11,100.01,100.14,17.92,20.32,17.51,16.76
File4.png,Garland_Pose_or_Malasana_,100.58,145.21,46.45,66.77,65.6,32.48,21.7,53.55
File56.png,Garland_Pose_or_Malasana_,106.48,142.32,45.76,53.05,29.0,46.43,22.91,23.98
192.jpg,Garland_Pose_or_Malasana_,95.29,103.2,24.22,32.66,6.83,10.97,37.57,28.11
350.jpg,Garland_Pose_or_Malasana_,67.0,143.19,51.48,75.45,43.48,80.56,22.79,26.6
144.jpg,Garland_Pose_or_Malasana_,92.88,122.28,15.77,33.72,56.8,44.89,40.9,21.84
39.jpg,Garland_Pose_or_Malasana_,83.78,80.87,31.91,31.5,39.83,44.52,26.38,24.93
247.jpg,Garland_Pose_or_Malasana_,77.18,79.53,34.52,40.48,45.6,50.6,26.45,26.36
File1.png,Garland_Pose_or_Malasana_,96.98,154.18,66.5,14.01,19.07,75.13,23.67,61.06
511.jpg,Garland_Pose_or_Malasana_,111.01,131.88,80.47,80.2,18.06,19.18,28.41,27.56
File34.png,Garland_Pose_or_Malasana_,133.31,127.54,39.51,61.45,7.73,14.61,22.74,41.9
443.jpg,Garland_Pose_or_Malasana_,78.71,65.71,78.28,60.89,26.84,41.45,20.01,23.17
File39.png,Garland_Pose_or_Malasana_,100.48,97.99,74.06,69.63,42.89,45.0,48.65,45.56
File43.png,Garland_Pose_or_Malasana_,138.61,130.19,54.96,66.81,11.02,21.68,40.42,37.85
File23.png,Garland_Pose_or_Malasana_,90.07,89.79,47.14,46.03,70.16,70.57,28.63,27.44
60.jpg,Garland_Pose_or_Malasana_,116.49,96.71,93.49,78.15,18.16,29.06,33.74,42.24
403.jpg,Garland_Pose_or_Malasana_,75.48,71.31,39.55,36.66,57.15,57.32,32.65,27.02
File57.png,Garland_Pose_or_Malasana_,81.41,74.86,56.38,51.95,63.2,68.93,38.25,30.28
File2.png,Garland_Pose_or_Malasana_,81.62,90.85,72.72,71.05,41.46,47.48,26.81,29.53
431.jpg,Garland_Pose_or_Malasana_,63.47,99.76,51.69,62.02,48.76,62.65,43.54,42.85
File9.png,Garland_Pose_or_Malasana_,71.4,91.76,41.05,38.06,71.08,78.76,30.56,32.72
File31.png,Garland_Pose_or_Malasana_,121.4,111.77,56.81,52.85,16.41,20.68,56.19,97.61
File24.png,Garland_Pose_or_Malasana_,107.22,113.69,67.08,63.98,59.39,63.31,33.14,35.6
514.jpg,Garland_Pose_or_Malasana_,70.16,62.08,54.37,61.27,29.73,38.83,23.19,18.37
455.jpg,Garland_Pose_or_Malasana_,85.62,89.35,93.66,89.61,33.49,37.36,42.35,35.81
167.jpg,Garland_Pose_or_Malasana_,96.62,123.84,44.61,49.14,19.26,44.62,30.77,94.19
172.jpg,Garland_Pose_or_Malasana_,91.41,86.6,53.99,65.91,100.11,108.82,111.29,119.17
File35.png,Garland_Pose_or_Malasana_,117.74,122.13,55.07,41.28,33.65,56.39,21.47,41.58
File8.png,Garland_Pose_or_Malasana_,141.55,128.68,42.84,48.11,160.66,149.98,156.42,167.24
File22.png,Garland_Pose_or_Malasana_,69.24,71.02,57.61,54.46,51.03,50.0,27.55,26.25
File44.png,Garland_Pose_or_Malasana_,140.4,122.0,52.58,71.0,28.24,39.4,48.56,63.51
225.jpg,Garland_Pose_or_Malasana_,164.4,112.98,11.58,36.25,35.33,32.44,19.37,42.39
188.jpg,Garland_Pose_or_Malasana_,85.63,125.86,86.03,85.83,34.43,36.06,18.92,20.27
File10.png,Garland_Pose_or_Malasana_,91.88,80.24,72.41,50.85,43.44,32.98,43.49,41.0
316.jpg,Garland_Pose_or_Malasana_,70.62,129.15,34.55,40.78,49.52,45.06,29.87,17.37
284.jpg,Garland_Pose_or_Malasana_,77.37,127.67,22.54,34.74,46.05,34.73,24.0,20.19
25.jpg,Bharadvaja's_Twist_pose_or_Bharadvajasana_I_,130.63,126.44,32.89,40.98,110.95,94.45,49.22,48.52
254.jpg,Bharadvaja's_Twist_pose_or_Bharadvajasana_I_,137.87,136.5,52.46,33.77,96.63,110.39,36.13,62.24
207.jpg,Bharadvaja's_Twist_pose_or_Bharadvajasana_I_,105.97,136.83,37.81,35.08,106.0,65.75,30.79,45.8
60.jpg,Bharadvaja's_Twist_pose_or_Bharadvajasana_I_,95.51,135.43,24.81,80.61,92.91,44.67,13.1,3.78
114.jpg,Bharadvaja's_Twist_pose_or_Bharadvajasana_I_,110.81,123.87,7.79,23.73,105.63,105.51,38.14,55.68
62.jpg,Bharadvaja's_Twist_pose_or_Bharadvajasana_I_,117.96,119.71,24.43,16.0,88.37,104.03,166.64,175.71
198.jpg,Bharadvaja's_Twist_pose_or_Bharadvajasana_I_,151.75,131.57,51.88,13.15,70.61,98.17,13.69,23.27
108.jpg,Bharadvaja's_Twist_pose_or_Bharadvajasana_I_,158.9,152.12,94.19,80.67,42.06,40.73,11.22,18.65
49.jpg,Bharadvaja's_Twist_pose_or_Bharadvajasana_I_,151.32,110.26,80.38,9.7,46.26,84.17,10.24,33.81
349.jpg,Bharadvaja's_Twist_pose_or_Bharadvajasana_I_,144.27,136.27,30.72,54.54,105.9,112.27,53.89,45.27
58.jpg,Bharadvaja's_Twist_pose_or_Bharadvajasana_I_,157.79,163.12,7.77,25.07,99.83,116.59,57.6,52.62
674.jpg,Bharadvaja's_Twist_pose_or_Bharadvajasana_I_,157.9,173.58,28.88,79.29,63.62,84.47,26.41,42.35
635.jpg,Bharadvaja's_Twist_pose_or_Bharadvajasana_I_,122.77,173.98,41.73,94.76,58.71,47.97,50.18,6.4
117.jpg,Bharadvaja's_Twist_pose_or_Bharadvajasana_I_,175.88,150.17,76.77,34.29,75.07,81.57,36.23,24.92
147.jpg,Bharadvaja's_Twist_pose_or_Bharadvajasana_I_,155.07,127.01,34.7,22.23,75.35,94.58,15.81,26.9
149.jpg,Bharadvaja's_Twist_pose_or_Bharadvajasana_I_,144.99,144.76,57.7,72.73,65.12,67.23,17.55,29.58
322.jpg,Bharadvaja's_Twist_pose_or_Bharadvajasana_I_,153.86,164.82,37.38,57.6,86.97,68.99,58.22,29.83
30.jpg,Bharadvaja's_Twist_pose_or_Bharadvajasana_I_,142.11,117.02,51.84,68.05,54.74,42.56,25.72,11.98
279.jpg,Bharadvaja's_Twist_pose_or_Bharadvajasana_I_,146.47,171.76,11.15,85.6,67.32,60.05,21.93,15.76
135.jpg,Bharadvaja's_Twist_pose_or_Bharadvajasana_I_,173.45,141.52,59.78,3.99,68.75,106.29,23.4,30.7
115.jpg,Bharadvaja's_Twist_pose_or_Bharadvajasana_I_,167.47,108.55,85.87,29.42,36.1,62.54,8.38,35.51
499.jpg,Bharadvaja's_Twist_pose_or_Bharadvajasana_I_,164.13,128.08,42.49,10.53,47.43,126.5,31.22,28.51
15.jpg,Bharadvaja's_Twist_pose_or_Bharadvajasana_I_,144.43,136.44,2.06,54.94,111.57,84.67,33.56,30.62
126.jpg,Bharadvaja's_Twist_pose_or_Bharadvajasana_I_,129.8,172.01,76.15,73.88,76.35,134.7,21.54,25.84
144.jpg,Bharadvaja's_Twist_pose_or_Bharadvajasana_I_,131.35,99.19,34.75,11.05,117.21,115.68,33.89,35.9
449.jpg,Bharadvaja's_Twist_pose_or_Bharadvajasana_I_,155.62,119.42,38.05,12.68,72.16,65.0,85.96,76.5
383.jpg,Bharadvaja's_Twist_pose_or_Bharadvajasana_I_,167.42,152.98,38.63,30.72,116.22,87.65,41.48,52.92
444.jpg,Bharadvaja's_Twist_pose_or_Bharadvajasana_I_,138.0,146.64,44.71,68.62,84.77,82.0,14.42,51.54
3.jpg,Bharadvaja's_Twist_pose_or_Bharadvajasana_I_,102.65,166.92,26.03,85.44,51.74,42.7,28.38,15.96
143.jpg,Bharadvaja's_Twist_pose_or_Bharadvajasana_I_,129.15,154.41,37.17,62.75,57.92,70.62,16.98,34.58
0_156.jpg,Bharadvaja's_Twist_pose_or_Bharadvajasana_I_,119.34,112.22,7.51,24.91,99.34,90.7,105.05,125.92
140.jpg,Bharadvaja's_Twist_pose_or_Bharadvajasana_I_,140.36,143.61,27.22,51.72,91.83,77.4,34.54,36.59
40.jpg,Bharadvaja's_Twist_pose_or_Bharadvajasana_I_,125.1,134.41,87.65,71.78,80.07,84.26,47.65,54.42
104.jpg,Bharadvaja's_Twist_pose_or_Bharadvajasana_I_,165.55,159.88,56.63,60.94,53.53,67.5,21.73,32.53
127.jpg,Bharadvaja's_Twist_pose_or_Bharadvajasana_I_,143.39,148.63,36.52,72.33,96.4,81.74,27.66,33.35
32.jpg,Bharadvaja's_Twist_pose_or_Bharadvajasana_I_,166.96,132.44,73.67,22.18,54.58,73.22,14.57,31.79
71.jpg,Bharadvaja's_Twist_pose_or_Bharadvajasana_I_,148.4,100.37,74.54,4.85,121.15,157.28,84.18,104.72
16.jpg,Bharadvaja's_Twist_pose_or_Bharadvajasana_I_,96.05,137.3,14.6,82.69,81.54,46.12,19.01,3.76
439.jpg,Bharadvaja's_Twist_pose_or_Bharadvajasana_I_,167.75,155.96,15.04,93.98,53.8,59.73,21.79,20.18
199.jpg,Bharadvaja's_Twist_pose_or_Bharadvajasana_I_,107.4,151.63,24.0,88.66,72.9,49.27,10.89,9.56
593.jpg,Bharadvaja's_Twist_pose_or_Bharadvajasana_I_,124.15,167.33,3.56,47.47,116.16,82.57,21.85,12.07
77.jpg,Bharadvaja's_Twist_pose_or_Bharadvajasana_I_,114.09,115.8,29.02,12.21,75.07,97.99,50.56,24.55
1_138.jpg,Cockerel_Pose,149.29,132.14,78.7,60.74,31.59,25.17,31.48,35.9
2_323.jpg,Cockerel_Pose,137.45,163.97,32.13,38.62,69.81,61.05,38.32,32.3
4_115.jpg,Cockerel_Pose,149.77,148.24,79.75,70.91,15.1,58.0,58.59,142.19
2_5.jpg,Cockerel_Pose,120.88,136.18,27.03,64.89,77.37,80.92,122.19,99.1
2_167.jpg,Cockerel_Pose,147.64,155.28,20.6,38.03,67.38,76.83,21.98,58.12
3_212.jpg,Cockerel_Pose,119.81,148.49,86.74,104.58,65.98,58.03,124.08,74.81
2_446.jpg,Cockerel_Pose,81.31,131.35,24.51,28.41,47.59,52.08,26.35,20.76
2_175.jpg,Cockerel_Pose,139.0,139.53,63.87,63.59,34.57,36.59,30.03,25.11
4_18.jpg,Cockerel_Pose,167.74,142.51,92.53,78.62,52.68,54.26,13.49,17.38
2_186.jpg,Cockerel_Pose,113.91,161.64,29.93,71.59,89.09,26.24,57.17,20.32
2_3.jpg,Cockerel_Pose,130.81,142.15,70.97,70.02,40.7,39.76,7.77,11.93
2_152.jpg,Cockerel_Pose,118.43,121.64,20.08,19.14,60.15,47.91,68.21,61.19
2_17.jpg,Cockerel_Pose,119.0,110.88,74.74,70.68,54.52,60.47,53.05,38.61
4_339.jpg,Cockerel_Pose,126.2,144.99,60.09,89.98,53.66,74.24,117.22,107.1
2_2.jpg,Cockerel_Pose,151.73,157.82,66.32,53.38,45.71,38.31,12.22,9.09
4_392.jpg,Cockerel_Pose,156.97,158.4,75.4,73.25,29.12,25.02,57.85,97.62
4_98.jpg,Cockerel_Pose,157.94,126.96,83.06,71.49,49.93,56.22,84.97,124.58
4_188.jpg,Cockerel_Pose,148.5,139.75,99.41,94.7,26.48,35.36,44.88,66.14
4_70.jpg,Cockerel_Pose,137.79,141.75,41.0,58.01,50.98,50.37,120.49,83.71
4_307.jpg,Cockerel_Pose,141.86,121.11,93.15,79.09,63.37,57.33,49.57,42.88
4_451.jpg,Cockerel_Pose,153.42,162.07,64.38,71.76,31.32,16.31,142.79,13.57
2_83.jpg,Cockerel_Pose,106.7,117.4,17.33,33.98,63.02,59.06,11.7,64.0
2_41.jpg,Cockerel_Pose,128.59,145.82,61.2,79.23,32.0,29.63,26.26,12.8
2_168.jpg,Cockerel_Pose,132.7,157.23,22.41,23.58,68.94,66.7,51.65,33.0
2_367.jpg,Cockerel_Pose,161.4,158.89,83.01,85.33,43.56,45.79,20.9,28.78
4_45.jpg,Cockerel_Pose,167.97,159.03,95.47,91.6,31.56,26.6,16.02,21.96
4_73.jpg,Cockerel_Pose,143.2,161.92,82.33,83.32,49.61,51.83,70.98,61.63
2_434.jpg,Cockerel_Pose,119.81,128.03,56.71,39.72,31.18,31.6,36.01,46.4
2_290.jpg,Cockerel_Pose,163.89,161.29,85.54,83.31,28.67,27.76,19.92,16.46
2_66.jpg,Cockerel_Pose,146.31,174.0,32.33,56.44,82.87,45.66,30.84,19.69
4_174.jpg,Cockerel_Pose,165.82,165.67,86.38,97.6,47.0,51.92,109.68,74.06
2_4.jpg,Cockerel_Pose,142.15,142.32,72.54,82.2,26.61,19.96,11.11,12.13
2_179.jpg,Cockerel_Pose,156.0,148.11,63.99,52.22,27.67,30.67,36.12,25.36
2_53.jpg,Cockerel_Pose,161.04,157.79,75.98,72.71,36.58,32.69,15.98,16.7
2_251.jpg,Cockerel_Pose,122.28,112.29,35.26,9.45,50.5,66.99,45.31,48.91
2_185.jpg,Cockerel_Pose,158.25,156.24,64.5,58.53,60.52,73.43,24.63,29.12
